0.60|1.70,20250228,20250531
0.60|1.70,20250131,20250430
0.60|1.70,20241231,20250331
0.60|1.70,20241231,20250430
0.60|1.70,20240630,20241231
0.60|1.70,20240131,20240531
0.60|1.70,20230731,20231231
0.60|1.70,20230228,20230630
0.60|1.70,20220831,20221130
0.60|1.70,20220430,20220731
0.60|1.70,20220131,20220331
0.60|1.70,20211031,20220228
0.60|1.70,20210731,20211031
0.60|1.70,20210430,20210630
0.60|1.70,20210131,20210331
0.60|1.70,20201130,20210430
0.60|1.70,20200228,20200630
0.60|1.70,20190831,20191130
0.60|1.70,20190430,20190731
0.60|1.70,20190131,20190331
0.60|1.70,20181031,20190228
0.60|1.70,20180731,20181031
0.60|1.70,20180430,20180630
0.60|1.70,20180131,20180331
0.60|1.70,20171130,20170430
