4,1000.0|5000.0,2,3,4,80,5,1,1
2,1000.0|5000.0,3,2,5,80,6,2,2
6,1000.0|5000.0,3,4,5,100,8,3,3
5,1000.0|5000.0,5,7,8,160,6,4,4
2,1000.0|5000.0,2,3,4,80,5,5,5
3,1000.0|5000.0,3,2,5,80,6,6,7
3,1000.0|5000.0,3,4,5,100,8,11,8
4,1000.0|5000.0,5,7,8,160,6,12,9
4,1000.0|5000.0,2,3,4,80,5,7,1
2,1000.0|5000.0,3,2,5,80,6,8,2
6,1000.0|5000.0,3,4,5,100,8,9,3
5,1000.0|5000.0,5,7,8,160,6,10,4
2,1000.0|5000.0,2,3,4,80,5,13,5
3,1000.0|5000.0,3,2,5,80,6,14,7
3,1000.0|5000.0,3,4,5,100,8,15,8
4,1000.0|5000.0,5,7,8,160,6,16,9
4,1000.0|5000.0,2,3,4,80,5,17,1
2,1000.0|5000.0,3,2,5,80,6,18,2
6,1000.0|5000.0,3,4,5,100,8,19,3
5,1000.0|5000.0,5,7,8,160,6,20,4
2,1000.0|5000.0,2,3,4,80,5,21,5
3,1000.0|5000.0,3,2,5,80,6,22,7
3,1000.0|5000.0,3,4,5,100,8,23,8
4,1000.0|5000.0,5,7,8,160,6,24,9
